Chapter,Agency,Filed,Caption,AON,Type,id,country,data_source,doc_url
848,Oregon Board of Physical Therapy,05/28/2019 2:53 PM,Amend Rule to Establish 19-21 Biennium Budget.,PTLB 4-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846889
642,"Department of Agriculture, Oregon Mint Commission",05/28/2019 3:11 PM,"Rules related to public records requests, fees, and reduced fees.",OMC 1-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846890
657,"Department of Agriculture, Oregon Ryegrass Growers Seed Commission",05/28/2019 3:27 PM,"Rules related to public records requests, fees, and reduced fees.",RGSC 1-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846891
664,"Department of Agriculture, Oregon Clover Seed Commission",05/28/2019 3:31 PM,"Rules related to public records requests, fees, and reduced fees.",OCC 1-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846892
670,"Department of Agriculture, Oregon Blueberry Commission",05/28/2019 3:35 PM,"Rules related to public records requests, fees, and reduced fees.",OBC 1-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846893
635,Department of Fish and Wildlife,05/28/2019 3:37 PM,"Sport Pacific Halibut All-Depth Season from Leadbetter Point, WA to Cape Falcon, OR Closes",DFW 63-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846895
414,"Oregon Department of Education, Early Learning Division",05/29/2019 11:10 AM,Correcting rule reference for exempt prohibited individuals,ELD 13-2019,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846897
414,"Oregon Department of Education, Early Learning Division",05/29/2019 11:27 AM,Correcting rule reference for denial crimes,ELD 14-2019,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846898
331,"Oregon Health Authority, Health Licensing Office",05/29/2019 1:19 PM,Align rules with current examination and licensing practices; offer online renewal fee discount of $150.,HLO 5-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846900
137,Department of Justice,05/29/2019 2:16 PM,Child Care; Self-Support Reserve annual update; Rebuttals,DOJ 4-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846901
137,Department of Justice,05/29/2019 2:18 PM,Child support rule clarifications and process updates,DOJ 5-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846902
603,Department of Agriculture,05/29/2019 3:11 PM,Establishing a quarantine in Washington County mitigation measures for Japanese Beetle Infestation,DOA 14-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846903
414,"Oregon Department of Education, Early Learning Division",05/30/2019 11:19 AM,Administrative rules governing enrollment in the Central Background Registry.,ELD 15-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846905
414,"Oregon Department of Education, Early Learning Division",05/30/2019 11:22 AM,"Administrative rules governing health and safety training requirements for Registered Family, Certified Family, Certified Center.",ELD 16-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846899
409,"Oregon Health Authority, Health Policy and Analytics",05/30/2019 12:17 PM,All Payer All Claims Data Reporting program rule amendments and adoptions,OHP 1-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846822
413,"Department of Human Services, Child Welfare Programs",05/30/2019 12:37 PM,Amending rule 0210 to reflect recent screening changes,CWP 25-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846906
409,"Oregon Health Authority, Health Policy and Analytics",05/30/2019 12:48 PM,Amendment to All Payer All Claims Data Reporting progarm,OHP 2-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846907
737,"Department of Transportation, Transportation Safety Division",05/30/2019 1:17 PM,Ignition Interlock Device Program Transfer to Oregon State Police,TSD 3-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846896
811,Board of Chiropractic Examiners,05/30/2019 1:28 PM,"Partial Chapter 811 review - Divs 1, 20, 21, 30, and 35",BCE 8-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846908
635,Department of Fish and Wildlife,05/30/2019 2:14 PM,Malheur River Salmon Fishery Open to Angling in the Southeast Zone.,DFW 64-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846909
660,Land Conservation and Development Department,05/30/2019 2:44 PM,Amends rule for siting solar facilities on high-value farmland and on wildlife habitat,LCDD 5-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846894
409,"Oregon Health Authority, Health Policy and Analytics",05/30/2019 3:50 PM,Amendment to All Payer All Claims Data Reporting Program - OAR 409-025-0120,OHP 3-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846910
331,"Oregon Health Authority, Health Licensing Office",05/31/2019 9:15 AM,Approve Washington Board of Denture Technology written and practical examination as qualifying examination for licensure.,HLO 6-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846911
413,"Department of Human Services, Child Welfare Programs",05/31/2019 9:48 AM,Child Welfare: Confidentiality of Client Information - Prohibited Disclosures and Disclosure Procedures,CWP 26-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846912
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",05/31/2019 10:09 AM,"1915(i) Home and Community Based Services Repeal from Chapter 410, Division 172",DMAP 16-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846913
459,Oregon Public Employees Retirement System,05/31/2019 11:30 AM,Extend to OPSRP the Chapter 238 standards regarding when a “student employee” designation is appropriate.,PERS 4-2019,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846914
635,Department of Fish and Wildlife,05/31/2019 2:07 PM,"Allow Barbed Hooks When Angling for Salmon, Steelhead, and Trout in Columbia River Zone",DFW 65-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846915
635,Department of Fish and Wildlife,05/31/2019 2:55 PM,"Modifications to Sport Pacific Halibut All-Depth Season; Leadbetter Point, WA to Cape Falcon, OR",DFW 66-2019,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6846916
943,Oregon Health Authority,08/01/2019 9:30 AM,Alignment with OAR chapter 407 division 007 rules; Updates to hearing processes,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852146
335,Board of Examiners for Speech-Language Pathology and Audiology,08/01/2019 3:23 PM,"Amending rules regarding the licensure, scope, and supervision of SLPAs.",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852152
332,"Oregon Health Authority, Health Licensing Office, Board of Direct Entry Midwifery",08/02/2019 8:49 AM,Substantial changes to proposed rules based on public comment - risk and termination of care.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852157
837,"Department of State Police, Office of State Fire Marshal",08/08/2019 4:34 PM,"Adopts the 2018 International Fire Code with Oregon amendments (Oregon Fire Code, 2019 edition)",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852248
837,"Department of State Police, Office of State Fire Marshal",08/09/2019 8:26 AM,Increase Petroleum Load Fee that supports the Regional Hazardous Materials Emergency Response Teams.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852253
837,"Department of State Police, Office of State Fire Marshal",08/09/2019 9:02 AM,Amendments reflect expanded duties for SERC Executive Committee members. Addresses housekeeping items.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852256
331,"Oregon Health Authority, Health Licensing Office",08/09/2019 9:13 AM,Clarifying the time lines around required hearing tests prior to selling a hearing aid.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852262
837,"Department of State Police, Office of State Fire Marshal",08/09/2019 10:10 AM,Aligns language with contractual language. Updates definitions for better clarity. Addresses housekeeping items.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852277
837,"Department of State Police, Office of State Fire Marshal",08/09/2019 10:32 AM,Updates National Fire Protection Association Standard No. 1963 reference to current 2019 edition.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852283
875,Veterinary Medical Examining Board,08/09/2019 11:04 AM,Updates and clarifies definitions of unprofessional or dishonorable conduct for veterinarians.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6852290
875,Veterinary Medical Examining Board,08/09/2019 11:21 AM,Adds rules for unprofessional or dishonorable conduct for Certified Veterinary Technicians,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949509
837,"Department of State Police, Office of State Fire Marshal",08/09/2019 1:18 PM,Updates National Fire Protection Association Standard No. 1963 reference to current 2019 edition.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlinePDF.action?filingRsn=41902
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/09/2019 3:02 PM,"ODDS: Definitions and Expedited Hearings (411-304, 317, 318)",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949512
635,Department of Fish and Wildlife,08/12/2019 1:47 PM,Columbia River Sturgeon Angling Regulations Upstream of Bonneville Dam,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949529
635,Department of Fish and Wildlife,08/12/2019 2:42 PM,Adoption of Administration Fees,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949532
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",08/13/2019 9:28 AM,Amending Prior Authorization Approval Criteria Guide,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949535
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",08/13/2019 10:00 AM,Data Sharing with Legally Liable Third Parties and Limitations on Third Parties Rejection of Claims,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949537
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/13/2019 10:25 AM,ODDS: Agency Certification and Endorsement to Deliver Developmental Disabilities Services (411-323),,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949514
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/13/2019 1:28 PM,"ODDS: CDDPs, Brokerages, and Case Management Services (411-320, 340, 415)",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949538
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/13/2019 2:37 PM,"ODDS: 24-Hour Residential Programs and Settings (411-325, 349)",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949539
855,Board of Pharmacy,08/13/2019 2:54 PM,Prescribing practice rules updated to reflect statutory authority and incorporate Committee recommendations.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949541
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/13/2019 2:59 PM,ODDS: Supported Living Programs for Adults with Intellectual or Developmental Disabilities (411-328),,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949543
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/13/2019 4:29 PM,ODDS: Employment Services for Individuals with Intellectual or Developmental Disabilities (411-345),,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949545
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/14/2019 10:26 AM,ODDS: Foster Homes for Children with Intellectual or Developmental Disabilities (411-346),,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949555
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",08/14/2019 1:58 PM,Expand Rule To Provide Greater Detailed Information Regarding Administrative Exams,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949557
635,Department of Fish and Wildlife,08/14/2019 4:04 PM,Amend Rules for Disposition of Elk Taken With a Kill Permit to Address Wildlife Damage,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949556
124,Eastern Oregon Border Economic Development Board,08/15/2019 7:20 AM,"These rules relate to the Eastern Oregon Border Economic Development Board, Region and Fund.",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949561
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/15/2019 8:45 AM,"ODDS: Host Home Programs and Settings - Provider Enrollment (411-348, 370)",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949560
123,Oregon Business Development Department,08/15/2019 9:35 AM,These rules relate to the contracting procedures of the Business Development Department.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949563
123,Oregon Business Development Department,08/15/2019 10:59 AM,These rules relate to Economic Development Revenue Bonds.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949565
165,"Secretary of State, Elections Division",08/15/2019 3:25 PM,Adopts permanent changes to the Oregon Motor Voter Registration Manual to conform to new legislation.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949540
811,Board of Chiropractic Examiners,08/15/2019 5:28 PM,General Rule review,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949567
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/16/2019 8:18 AM,ODDS: Community Living Supports - Day Support Activities (411-450),,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949570
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/16/2019 8:19 AM,ODDS: Independent Providers Delivering Developmental Disabilities Services (411-375),,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949569
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",08/16/2019 8:19 AM,ODDS: Adult Foster Homes for Individuals with Intellectual or Developmental Disabilities (411-360),,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949568
459,Oregon Public Employees Retirement System,08/16/2019 11:02 AM,Implement SB 1049 (2019) Employer Incentive Fund (EIF) Program and UAL Resolution Program (UALRP).,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949575
855,Board of Pharmacy,08/16/2019 11:14 AM,Revises Drug Compounding rules in Division 045 and repeals one definition in Division 006.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949546
333,"Oregon Health Authority, Public Health Division",08/19/2019 9:36 AM,Grow site tracking and designating a grow site administrator for the Cannabis Tracking System,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949577
340,Department of Environmental Quality,08/19/2019 2:23 PM,Heating Oil Tank Fees 2019,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949562
334,Board of Massage Therapists,08/19/2019 2:59 PM,Establish rules to align the board with statutory requirements and clarify existing board rules.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949578
603,Department of Agriculture,08/20/2019 8:10 AM,Procedure for Notice of Intended Rulemaking,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949583
333,"Oregon Health Authority, Public Health Division",08/20/2019 3:26 PM,Update of Newborn Bloodspot Screening rules,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949586
409,"Oregon Health Authority, Health Policy and Analytics",08/21/2019 11:07 AM,Adding Optometrists licensed under the Oregon Board of Optometry to complete pain management course curricula.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949585
607,"Department of Agriculture, Oregon Tall Fescue Commission",08/21/2019 3:12 PM,Adds Orchardgrass Seed to crops assessed by Tall Fescue Commission; adds commissioner; updates penalty language.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949600
731,Department of Transportation,08/22/2019 1:20 PM,"Amendment of Administrative Rules required by HB 2881 (2019), 2019 Or Laws, Chapter 428",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949601
850,Oregon Board of Naturopathic Medicine,08/22/2019 2:49 PM,Repeal Peer Review,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949611
250,Oregon State Marine Board,08/22/2019 3:27 PM,Develops towed watersports education program and associated endorsements per the Oregon Legislature in HB 2352.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949612
735,"Department of Transportation, Driver and Motor Vehicle Services Division",08/22/2019 3:29 PM,Veterans’ Recognition Registration Plates,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949608
735,"Department of Transportation, Driver and Motor Vehicle Services Division",08/22/2019 3:30 PM,Electronic Record Inquiry during Application for an Oregon Title or Salvage Title,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949610
409,"Oregon Health Authority, Health Policy and Analytics",08/23/2019 12:07 PM,Amendment of Primary Care Services Reporting rules by Coordinated Care Organizations,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949618
635,Department of Fish and Wildlife,08/23/2019 1:36 PM,Conservation and Recreation Advisory Committee,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949620
436,"Department of Consumer and Business Services, Workers' Compensation Division",08/26/2019 2:09 PM,2020 Workers’ Benefit Fund Assessment Rate,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949664
818,Oregon Board of Dentistry,08/26/2019 3:33 PM,The Board is adopting 2 new vaccine rules and amending 30 rules in the DPA.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949660
259,Department of Public Safety Standards and Training,08/26/2019 3:51 PM,Police Officer and Reserve Officer Pre-Employment Psychological Screening Requirements to comply with SB423.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949547
259,Department of Public Safety Standards and Training,08/26/2019 3:54 PM,Private Security Instructor Continuing Education: Clarifying what is accepted as coursework and proof of completion.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949615
413,"Department of Human Services, Child Welfare Programs",08/27/2019 10:40 AM,Amending Rules to Update the BRS Rate Table Incorporated by Reference and Effective Date,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949580
413,"Department of Human Services, Child Welfare Programs",08/27/2019 10:48 AM,Amending Rules Related To Educational Services For A Child or Young Adult In Substitute Care,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949581
413,"Department of Human Services, Child Welfare Programs",08/27/2019 10:50 AM,Amending Rules Related to Child Care Reimbursement Payments For Certified Families,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949533
259,Department of Public Safety Standards and Training,08/27/2019 1:27 PM,New Private Security Professional Certification Specialty: Event and Entertainment Private Security Professional,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949623
437,"Department of Consumer and Business Services, Oregon Occupational Safety and Health Division",08/27/2019 4:28 PM,"Adopt federal SIP-IV and Oregon changes to administrative, general industry, construction, and maritime standards.",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949675
582,"Department of Human Services, Vocational Rehabilitation Services",08/27/2019 5:34 PM,"Vocational Rehabilitation aligns, adds OAR 1, 72, 100, 115, 190 with WIOA",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949670
259,Department of Public Safety Standards and Training,08/28/2019 10:26 AM,Adopting the 2019 Edition of NFPA 1003 Airport Fire Fighter Standard for DPSST Fire Certification.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949659
581,Oregon Department of Education,08/28/2019 10:58 AM,Restraint and Seclusion,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949679
543,Oregon State Library,08/28/2019 12:40 PM,Establishment of minimum conditions for public libraries,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949676
331,"Oregon Health Authority, Health Licensing Office",08/28/2019 1:34 PM,2019 House Bill 2011 required cultural competency continuing education to renew lactation consultant authorizations.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949680
817,"Oregon Health Authority, Health Licensing Office, Board of Cosmetology",08/28/2019 2:32 PM,"Complete review of all rules including certification requirements, safety and infection control and civil penalties.",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949682
337,Board of Medical Imaging,08/28/2019 3:07 PM,"Process for APRNs to obtain a permit to supervise fluoroscopy, and other changes.",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949673
413,"Department of Human Services, Child Welfare Programs",08/29/2019 7:26 AM,Amending Rules Related To Case Management - Service Plans,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949678
918,"Department of Consumer and Business Services, Building Codes Division",08/29/2019 11:24 AM,Incorporates specifications for water-conserving plumbing fixtures and fittings into the 2020 OPSC,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949696
440,"Department of Consumer and Business Services, Director's Office",08/29/2019 1:30 PM,2020 Workers' Compensation Premium Assessment Rates,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949698
918,"Department of Consumer and Business Services, Building Codes Division",08/29/2019 2:13 PM,Building Permit Process for Existing Buildings without a Valid Certificate of Occupancy,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949700
918,"Department of Consumer and Business Services, Building Codes Division",08/29/2019 2:34 PM,Amends the Oregon Residential Structural Code scope to align with the Oregon Structural Specialty Code,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949701
735,"Department of Transportation, Driver and Motor Vehicle Services Division",08/29/2019 3:27 PM,Possessory Lien by an Auction Company and Resulting Title Transaction,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949702
734,"Department of Transportation, Highway Division",08/29/2019 3:43 PM,Compensation for loss of an outdoor advertising sign resulting from a highway construction project,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949699
581,Oregon Department of Education,08/30/2019 9:00 AM,Rules Cleanup,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949705
581,Oregon Department of Education,08/30/2019 9:06 AM,Educator Advancement Fund,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949706
813,Oregon Housing and Community Services Department,08/30/2019 9:16 AM,Updating LIHTC rules for clarity and to add and update references to current manuals,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949707
331,"Oregon Health Authority, Health Licensing Office",08/30/2019 10:26 AM,Sex Offender Treatment Board is updating its juvenile practice standards.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949709
409,"Oregon Health Authority, Health Policy and Analytics",08/30/2019 1:38 PM,Physician VISA Waiver Program changes relating to health care facility qualification and reporting requirements.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6949711
