Issuing body	Published	File url	Ref	Summary	Title	file name 
Institución Autónoma	17/04/2008	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2008/04/88C07.PDF	Ordenanzas Municipales	La presente Ordenanza tiene por objeto propiciar el uso sostenible de los suelos, bosques existentes e incentivar prácticas de conservación de los mismos, asi también a evitar la contaminación de los mantos acuíferos, ríos y quebradas, así como a fomentar cambios de conducta que propicien la protección y mejoramiento de las condiciones Ambientales del Municipio.	ORDENANZA MUNICIPAL PARA LA PROTECCION Y CONSERVACION DEL MEDIO AMBIENTE DEL MUNICIPIO DE SAN MATIAS, DEPARTAMENTO DE LA LIBERTAD	8c00d11e157956f7fbc79ae1b52511d7e399b990
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	18/01/2008	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2008/01/88C69.PDF	Ordenanzas Municipales	La presente ordenanza tiene por objeto establecer las zonas de alto riesgo geológico; de máxima protección de los suelos no urbanizables y de los recursos naturales sobre la base de análisis técnicos establecidos en la formulación del plan maestro de desarrollo urbano del municipio. Los requisitos que los pobladores deben reunir en la obtención de permisos para la explotación de los Recursos Naturales renovables y no renovables.	ORDENANZA PARA LA DECLARATORIA DE ZONAS DE ALTO RIESGO GEOLOGICO, PARA LA PROTECCION DE SUELOS NO URBANIZABLES, Y DE RECURSOS NATURALES RENOVABLES Y NO RENOVABLES EN EL MUNICIPIO DE SANTA ANA	646824adbfce0c646ce299e5b7bb1d2d076f696b
Institución Autónoma	28/03/2008	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2008/03/88BBB.PDF	Ordenanzas Municipales	La Municipalidad de Sesori, considera que es neceario evitar la contaminación de los mantos acuíferos, los ríos y sus cuencas, así como el mal uso de las aguas, con fines agropecuarios, así como la contaminación por otros, como Dióxido de Carbono, Monóxido de Carbono, sonido, etc. Evitando de esa forma, graves consecuencias a los recursos naturales y el medio ambiente.	ORDENANZA MUNICIPAL DE CONSERVACION DEL MEDIO AMBIENTE DEL MUNICIPIO DE SESORI, DEPARTAMENTO DE SAN MIGUEL	b04399e3e3863584e3e1d2e6021d5b6f769163ad
Institución Autónoma	19/08/2008	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2008/08/88C09.PDF	Ordenanzas Municipales	La presente Ordenanza tiene por objeto emitir regulaciones tendientes a proteger, conservar y recuperar el medio ambiente y los recursos naturales del municipio de Texistepeque, de modo que contribuyan y proporcionen a los habitantes, innumerables aportes de índole socio-económico, ecológica y ambiental.	ORDENANZA MUNICIPAL PARA LA PROTECCION, CONSERVACION Y RECUPERACION DEL MEDIO AMBIENTE DEL MUNICIPIO DE TEXISTEPEQUE, DEPARTAMENTO DE SANTA ANA	2369a4bf9908f7ba1b3ac02ac3bc7088c3c76ed8
Institución Autónoma	09/10/2008	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2008/10/88C8C.PDF	Ordenanzas Municipales	La presente Ordenanza tiene por objeto evitar la contaminación de la cuenca hidrográfica de los ríos del municipio, sus mantos acuíferos y quebradas aledañas, regular el uso y aprovechamiento de los recursos naturales renovables y no renovables, vinculados a las cuencas de los ríos del municipio, incrementar y proteger sus fuentes abastecedoras de aguas y asi como también proteger, vigilar y regular la tala indiscriminada de arboles en el municipio.	ORDENANZA PARA LA PROTECCION Y CONSERVACION DE LOS RECURSOS NATURALES Y EL MEDIO AMBIENTE DEL MUNICIPIO DE LA VILLA DE CAROLINA, DEPARTAMENTO DE SAN MIGUEL	eefa471a1086b248252f0f2eb8340ac463917160
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	28/09/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/09/9A342.PDF	Decreto Municipal-Masahuat	La presente Ordenanza tiene por objeto establecer un marco regulador de carácter general para el cobro y la aplicación de las diferentes Contribuciones Especiales que se establezcan para el financiamiento de nuevas obras o acciones de planes de mitigación de riesgos, programas de saneamiento y educación ambiental, así como políticas y programas ambientales, de las zonas aledañas a la Central Hidroeléctrica Guajoyo, ubicada en la Jurisdicción de este Municipio.	ORDENANZA DE CONTRIBUCIONES ESPECIALES DEL MUNICIPIO DE MASAHUAT, DEPARTAMENTO DE SANTA ANA	a5e63c384901fdb7d5760bdcf3290e1a0158bd91
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	18/09/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/09/99E37.PDF	Decreto Municipal-San José Guayabal	La presente Ordenanza tiene por objeto prevenir, combatir y controlar dentro de la jurisdicción del Municipio de San José Guayabal, la generación de epidemias y enfermedades, especialmente la llamada Dengue Clásico o Dengue Hemorrágico, mediante programas de saneamiento ambiental, con la participación activa de la población y de los diferentes sectores.	ORDENANZA PARA LA PREVENCION, COMBATE Y CONTROL DE LA ENFERMEDAD DEL DENGUE EN EL MUNICIPIO DE SAN JOSE GUAYABAL, DEPARTAMENTO DE CUSCATLAN	b3d21c2dc37627ef6e77bd47e6a57ecc4b0ed042
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	17/12/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/12/9C7A2.PDF	Decreto Municipal-Sacacoyo	La presente Ordenanza tiene por objeto prevenir, combatir y controlar dentro de la jurisdicción del Municipio de Sacacoyo, la generación de epidemias y enfermedades, especialmente la llamada Dengue Clásico o Dengue Hemorrágico, mediante programas de saneamiento ambiental, con la participación activa de la población y de los diferentes sectores.	ORDENANZA PARA LA PREVENCION, COMBATE Y CONTROL DE LA ENFERMEDAD DEL DENGUE EN EL MUNICIPIO DE SACACOYO, DEPARTAMENTO DE LA LIBERTAD	0eab4fd43506361db1ada8eee32a944b12157677
ORGANO EJECUTIVO (Ministerio de Salud)	13/02/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/02/9D70C.PDF	Decreto Ejecutivo	El presente Reglamento tiene por objeto el control y la fiscalización de toda importación, exportación, fabricación, cultivo, preparación, producción, consumo, transporte, distribución y/o cualquier tipo de comercialización o transacción, tanto nacional como internacional, de sustancias Estupefacientes, Psicotrópicos, Precursores, Productos y Sustancias Químicas y Agregados, según lo establecido en tratados y acuerdos internacionales, especialmente lo adoptado en la Convención Única de 1961 sobre Estupefacientes de la ONU y la modificación de la Convención Única de 1961 y la Enmienda por el Protocolo de 1972, el Convenio sobre Sustancias Psicotrópicas ONU de 1971; y la Convención de las Naciones Unidas contra el Tráfico Ilícito de Estupefacientes y Sustancias Psicotrópicas de 1988.	REGLAMENTO DE ESTUPEFACIENTES, PSICOTROPICOS, PRECURSORES, SUSTANCIAS Y PRODUCTOS QUIMICOS Y AGREGADOS	ef11422f54d5567ee73d9ee1ff644103f5eb1651
Institución Autónoma	12/06/2009	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2009/06/88B85.PDF	Ordenanzas Municipales	El fin de la presente Ordenanza Municipal es la de vigilar, controlar y autorizar las actividades que se refieren al desarrollo urbano y rural del Territorial del Municipio incorporando la dimensión ambiental como parte de los planes del desarrollo.	ORDENANZA DEL CONTROL DEL DESARROLLO URBANO Y DE LA CONSTRUCCION EN EL MUNICIPIO DE METAPAN, DEPARTAMENTO DE SANTA ANA	4c71364a46195a593e67727d1fa6bcfac76d4936
INSTITUCIÓN AUTÓNOMA	16/09/2009	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2009/09/88CF2.PDF	Ordenanzas Municipales	La ordenanza previene y regula con acierto la contaminación ambiental en el municipio, hechas por medios de la emisión de ruidos provenientes de cualquiera fuente fija o móvil en el municipio.	ORDENANZA REGULADORA DE LA CONTAMINACION AMBIENTAL POR LA EMISION DE RUIDOS EN EL MUNICIPIO DE SENSUNTEPEQUE, DEPARTAMENTO DE CABAÑAS	e1cd38f620066b70c6df6071894d5e95b1ab59b0
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	03/11/2009	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2009/11/88E1F.PDF	Decreto Municipal-Panchimalco	La ordenanza ordena la instalación, funcionamiento, uso de suelo y subsuelo y del espacio publico, de torres del tendido eléctrico y otros; con el propósito principalmente de menor espacio de ocupación y mínimo impacto visual.	ORDENANZA REGULADORA PARA LA INSTALACION, EL USO DE SUELO Y SUBSUELO Y DEL ESPACIO PUBLICO, Y EL FUNCIONAMIENTO DE TORRES DEL TENDIDO ELECTRICO, ANTENAS DE TELECOMUNICACION, AUDIODIFUSION Y TELEVISION, POSTES PARA LA INSTALACION DE CABLES, CABINAS Y CAJAS DE CUALQUIER NATURALEZA EN EL MUNICIPIO DE PANCHIMALCO, DEPARTAMENTO DE SAN SALVADOR	ce2bd5586b217e8ddc7eae8f68d9d7ef3404c880
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	18/03/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/03/9E340.PDF	Decreto Municipal-Tamanique	La presente ordenanza tiene por objeto establecer las normas y Reglamentos de aplicación, que deberán de regir al exacto cumplimiento de esta Ordenanza y de toda disposición que la autoridad respectiva dicte para la conservación de los recursos naturales renovables y no renovables tales como: fauna, flora, y mantos acuíferos, dentro del Municipio de Tamanique.	ORDENANZA PARA LA PROTECCION Y CONSERVACION DE LOS RECURSOS NATURALES RENOVABLES Y NO RENOVABLES DEL MUNICIPIO DE TAMANIQUE, DEPARTAMENTO DE LA LIBERTAD	0cc5362b18c38596d98f51a2bc3f5aeacfae0eba
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	24/01/2011	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/01/8B850.PDF	Ordenanza Municipal-La Libertad	Esta municipalidad considera que en la actualidad existe un desordenado y descontrolado crecimiento urbanístico, lo que impone a los municipios la ineludible responsabilidad de regular los usos del suelo y recursos naturales en pro del bien común. En la presente Ordenanza municipal se da por establecido, que toda obra pública o privada a excepción de la señalada en la Ley de Urbanismo y Construcción, deberá ser construida y planificada por profesionales responsables de la ingeniería y arquitectura, además, deberán estar inscritos en el Registro Nacional de Arquitectos, Ingenieros, Proyectistas y Constructores; por tal razón, se faculta a UPAMUR para que vele por el debido cumplimiento del Plan local de Desarrollo Municipal, quien deberá proceder según el caso a suspender o demoler la obra que se estuviese realizando, todo a costa de los infractores y sin perjuicio a la Municipalidad, facultando a los perjudicados el derecho de poder recurrir ante la instancia respectiva y dentro del plazo que esta Ordenanza establece.	ORDENANZA DE CONTROL Y COBRO POR SERVICIOS PARA EL DESARROLLO TERRITORIAL EN EL MUNICIPIO DE LA LIBERTAD, DEPARTAMENTO DE LA LIBERTAD	47d5420614e966db2c23700db0a52def76caa35a
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	11/04/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/04/9E859.PDF	Decreto Municipal-Tejutepeque	La presente Ordenanza tiene por objeto prevenir, combatir y controlar dentro de la Jurisdicción del Municipio de Tejutepeque la generación de epidemias y enfermedades, especialmente la llamada Dengue Clásico o Dengue hemorrágico, mediante programas de saneamiento ambiental, con la participación activa de la población y de los diferentes sectores.	ORDENANZA MUNICIPAL PARA LA PREVENCION, COMBATE Y CONTROL DE LA ENFERMEDAD DEL DENGUE EN EL MUNICIPIO DE TEJUTEPEQUE, DEPARTAMENTO DE CABAÑAS	819398ed716abaeb4618b5fcd26339d8cd31a756
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	12/07/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/07/A0E63.PDF	Decreto Municipal-San Francisco Menéndez	La presente Ordenanza tiene por objeto establecer las normas orientadas a la regulación del ingreso y salida del ganado vacuno, de bestias mulares y caballares a la jurisdicción del Municipio de San Francisco Menéndez.	ORDENANZA MUNICIPAL REGULADORA DE GANADO EN TRANSITO POR EL MUNICIPIO DE SAN FRANCISCO MENENDEZ, DEPARTAMENTO DE AHUACHAPAN	0febf9d3977fee6ea71cdc8216dae059f2dc9dde
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	23/07/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/07/A105C.PDF	Decreto Municipal-Atiquizaya	"El objeto y ámbito de aplicación de la presente Ordenanza de la Jurisdicción del Municipio de Atiquizaya, es con la finalidad de promover la participación activa de la población a efecto de prevenir y controlar dentro de nuestro Municipio los potenciales criaderos del Zancudo ""Aedes Aegypti"" transmisor de la enfermedad del dengue, ya sea éste dengue clásico (dengue) o dengue hemorrágico (dengue grave), mediante programas de saneamiento ambiental con la participación activa de la población y de los diferentes sectores."	ORDENANZA PARA LA PREVENCION Y CONTROL DE LA ENFERMEDAD DEL DENGUE EN EL MUNICIPIO DE ATIQUIZAYA, DEPARTAMENTO DE AHUACHAPAN	c3f28068e6c0e3a782b21d961073681e2fb5fc76
ORGANO EJECUTIVO	18/05/2009	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2009/05/89197.PDF	Reglamentos	El presente Reglamento tiene por objeto desarrollar las disposiciones legales para regular el comercio internacional de especies amenazadas de fauna y flora silvestres, según la Convención sobre el Comercio Internacional de Especies Amenazadas de Fauna y Flora Silvestres.	REGLAMENTO ESPECIAL PARA REGULAR EL COMERCIO INTERNACIONAL DE ESPECIES AMENAZADAS DE FAUNA Y FLORA SILVESTRES, SEGUN LA CONVENCION SOBRE EL COMERCIO INTERNACIONAL DE ESPECIES AMENAZADAS DE FAUNA Y FLORA SILVESTRES	d1d92204153110df678b006b701b07306293b6da
Institución Autónoma	20/08/2009	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2009/08/88BD7.PDF	Ordenanzas Municipales	La presente Ordenanza tiene por objeto: Contribuir a la preservación de la salud pública y de los recursos naturales del municipio,como evitar las acciones que deterioren el medio ambiente, por medio de la prevención, el control, la vigilancia y la denuncia ante las autoridades competentes de la contaminación que pueda perjudicar la salud, la calidad de vida de la población y los ecosistemas, al igual que aquellas actividades que provoquen la contaminación principalmente del agua.	ORDENANZA MUNICIPAL PARA DISMINUIR LA CONTAMINACION POR VERTIDOS DE AGUAS RESIDUALES DE TIPO ESPECIAL Y ORDINARIA EN EL MUNICIPIO DE METAPAN, DEPARTAMENTO DE SANTA ANA	03a83f80282f03c903ffb2b01b29c5157c09ecc3
ÓRGANO EJECUTIVO	04/02/2009	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2009/02/89259.PDF	Acuerdos	El acuerdo establece un veda total y permanente con la intención de proteger todas las especies de tortugas marinas, de tal manera que se evita la tenencia, posesión, consumo, comercialización y extracción para fines que no sean de conservación o de investigación científica.	REGULACIONES ESPECIFICAS PARA LA PROTECCION DE TODAS LAS ESPECIES DE TORTUGA MARINA	23f3997dc6d1ed6073e2f1d05bfbf15a40683e4a
Instituciones Autónomas (Alcaldías Municipales)	28/03/2011	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/03/8EAB5.PDF	Decreto Municipal-Quezaltepeque	La presente Ordenanza establece un cobro como contribución especial, a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la transmisión de energía en la jurisdicción del municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional;  por la instalación y funcionamiento de estructuras de su propiedad, otorgando un plazo de pago al sujeto pasivo de forma bimensual ó en su caso, dentro de los siguientes 20 días del mismo.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION DE ENERGIA ELECTRICA EN LA JURISDICCION DEL MUNICIPIO DE QUEZALTEPEQUE, DEPARTAMENTO DE LA LIBERTAD	f79613e1ce2c09af87a03c16aa2c9e1881aaffbd
INSTITUCIONES AUTONOMAS (Alcaldía Municipal)	14/04/2011	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/04/8F09E.PDF	Decreto Municipal-Jayaque	La presente normativa Municipal tiene como propósito regular y desarrollar planes y programas destinados a la preservación, restauración, aprovechamiento racional y mejoramiento de los recursos naturales, con lo que se pretende elaborar, aprobar y ejecutar planes de desarrollo local, de tal manera que permita estimular la generación de empleo, en coordinación con instituciones competentes del estado que posibiliten la promoción, investigación, inversión y fomento del turismo rural. El municipio a través de la Asociación de Desarrollo Turístico en coordinación con la Unidad Técnica de la Micro Región El Bálsamo y el Ministerio de Turismo, promoverán eventos y campañas turísticas de información a los visitantes, así mismo realizarán cursos de capacitación al personal, a fin de proporcionar una mejor calidad de servicio al turista. Las empresas u operadores turísticos establecidos o que presten sus servicios en el municipio podrán gozar de los beneficios e incentivos otorgados por el Concejo Municipal. En caso de contravenir la presente Ordenanza Municipal se sancionará administrativamente al contraventor en caso de ser comprobada la infracción, sin perjuicio de poder recurrir ante la instancia respectiva y dentro del plazo que las leyes Secundarias y nuestra Carta Magna establecen.	ORDENANZA REGULADORA DE LA ACTIVIDAD TURISTICA EN EL MUNICIPIO DE JAYAQUE, DEPARTAMENTO DE LA LIBERTAD	7bd959f585bf291106a9adde1572609ccaf2d27d
INSTITUCIONES AUTONOMAS (Alcaldía Municipal)	14/04/2011	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/04/8F09F.PDF	Decreto Municipal-Sacacoyo	La presente normativa Municipal tiene como propósito regular y desarrollar planes y programas destinados a la preservación, restauración, aprovechamiento racional y mejoramiento de los recursos naturales, con lo que se pretende elaborar, aprobar y ejecutar planes de desarrollo local, de tal manera que permita estimular la generación de empleo, en coordinación con instituciones competentes del estado que posibiliten la promoción, investigación, inversión y fomento del turismo rural. El municipio a través de la Asociación de Desarrollo Turístico en coordinación con la Unidad Técnica de la Micro Región El Bálsamo y el Ministerio de Turismo, promoverán eventos y campañas turísticas de información a los visitantes, así mismo realizarán cursos de capacitación al personal, a fin de proporcionar una mejor calidad de servicio al turista. Las empresas u operadores turísticos establecidos o que presten sus servicios en el municipio podrán gozar de los beneficios e incentivos otorgados por el Concejo Municipal. En caso de contravenir la presente Ordenanza Municipal se sancionará administrativamente al contraventor en caso de ser comprobada la infracción, sin perjuicio de poder recurrir ante la instancia respectiva y dentro del plazo que las leyes Secundarias y nuestra Carta Magna establecen.	ORDENANZA REGULADORA DE LA ACTIVIDAD TURISTICA EN EL MUNICIPIO DE SACACOYO, DEPARTAMENTO DE LA LIBERTAD	8fb61f84d9f5149a8cfa6dc194522ab5d43d7a8b
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	05/12/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/12/A3A7E.PDF	Decreto Municipal-Santa Tecla	La presente ordenanza tiene por objeto prevenir y regular la contaminación ambiental en el municipio de Santa Tecla, Departamento de La Libertad, debido a la emisión de ruidos y vibraciones provenientes de cualquier fuente fija o móvil, instalada en espacio público o privado, que constituyan riesgo para la salud de sus habitantes, motivo de desarmonía social o causa de intranquilidad ciudadana.	ORDENANZA REGULADORA DE LAS EMISIONES DE RUIDOS Y VIBRACIONES EN EL MUNICIPIO DE SANTA TECLA, DEPARTAMENTO DE LA LIBERTAD	6458c88c621d5502a5c976e0e835e53f0cdec420
INSTITUCIONES AUTONOMAS (Alcaldía Municipal)	01/06/2011	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/06/8FDE3.PDF	Decreto Municipal-San Cristóbal	La presente normativa municipal ha nacido con el propósito de proporcionar a los habitantes de este municipio un servicio de agua potable, bajo un programa eficiente de administración en cuanto a su calidad, prevención y control por la contaminación de las aguas. Esta Ordenanza advierte que en algunas ocasiones se han producido abusos, deficiencias e irregularidades en el servicio del agua desde hace muchos años atrás y sin ninguna restricción; por tal razón se considera, que con la creación de la presente normativa se incentivará a la población a que sean responsables en la solución de los inconvenientes del agua, obligando a los solicitantes del servicio a pagar el costo de la instalación, conexión y pago mensual, caso contrario serán amonestados al incumplir con los parámetros que en este cuerpo normativo se reglamentan.	ORDENANZA REGULADORA DE TASAS POR SERVICIOS DE AGUA POTABLE PROYECTO HIDRAULICO FUERZA UNION LIBERTAD DEL MUNICIPIO DE SAN CRISTOBAL, DEPARTAMENTO DE CUSCATLAN	e33e6ef912a42b7298e455d2f3a664f03feb70f0
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	20/12/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/12/A439C.PDF	Decreto Municipal-Comacarán	La presente Ordenanza tiene por objeto la regulación de las condiciones a las que debe someterse la ubicación, instalación y funcionamiento de las estructuras de soporte de dispositivos de emisión y recepción de ondas y cableado de cualquier naturaleza en el municipio de Comacarán, a fin de que su implantación produzca la menor ocupación y el mínimo impacto visual y medioambiental en el espacio tanto rural como urbano, preservando el derecho de los ciudadanos a mantener unas condiciones de vida sin peligro para su salud.	ORDENANZA REGULADORA PARA LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE SOPORTE DE DISPOSITIVOS DE EMISION Y RECEPCION DE ONDAS Y CABLEADO DE CUALQUIER NATURALEZA EN EL MUNICIPIO DE COMACARAN, DEPARTAMENTO DE SAN MIGUEL	9462c2d21fd2d13db5b6d29587956cc9b28b822f
ORGANO LEGISLATIVO	09/06/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/06/A7775.PDF	Decreto Legislativo	Por medio del presente Decreto se erige la Jurisdicción Ambiental la cual estará a cargo, en Primera Instancia, de Juzgados Ambientales y en Segunda Instancia, de una Cámara Ambiental; los cuales tendrán competencia exclusiva para conocer y resolver las acciones civiles de cualquier cuantía en las que se deduzca la responsabilidad civil derivada de actos que atenten contra el medio ambiente; y realizarán su función jurisdiccional sujetos a lo establecido en la Constitución de la República, tratados y convenciones internacionales sobre la materia ratificados por El Salvador, legislación ambiental, leyes afines y principios doctrinarios del derecho ambiental.	DECRETO POR MEDIO DEL CUAL SE ERIGE LA JURISDICCION AMBIENTAL LA CUAL ESTARA A CARGO, EN PRIMERA INSTANCIA DE JUZGADOS AMBIENTALES Y, EN SEGUNDA INSTANCIA DE UNA CAMARA AMBIENTAL	cad84c955dbe0c17472b8211a667f3bea3479429
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA28B.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""Hacienda Casamota y La Pezota"" ubicada en el Cantón El Brazo, municipio y departamento de San Miguel, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE HACIENDA CASAMOTA Y LA PEZOTA, DEL MUNICIPIO DE SAN MIGUEL, DEPARTAMENTO DE SAN MIGUEL	d7635349720ca4fbf3f96da48c149466ffaa95bf
INSTITUCIÓN AUTÓNOMA (Alcaldía Municipal)	26/04/2010	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2010/04/88C84.PDF	Ordenanzas Municipales	La presente Ordenanza tiene por objeto contribuir a la protección y preservación de los recursos naturales dentro del Municipio de Santa Catarina Masahuat, Departamento de Sonsonate, creando para ello la Unidad Ambiental como la estructura especializada que forma parte del Sistema Nacional de Gestión del Medio Ambiente, para garantizar el uso sostenido de estos recursos.	ORDENANZA PARA LA PROTECCION DE LOS RECURSOS NATURALES EN EL MUNICIPIO DE SANTA CATARINA MASAHUAT, DEPARTAMENTO DE SONSONATE	e54692718b4806efc931278a143d5c8099c0a258
ORGANO EJECUTIVO (Ministerio de Agricultura y Ganadería)	15/06/2010	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2010/06/DEFAA.PDF	Acuerdo Ejecutivo-321	El presente Reglamento reorganiza y fortalece la organización interna del Ministerio de Agricultura y Ganadería existente para mejorar la prestación de servicios de orientación de agro negocios elevando su competitividad y rentabilidad.	REGLAMENTO INTERNO Y DE FUNCIONAMIENTO DEL MINISTERIO DE AGRICULTURA Y GANADERIA	f321dacf5394c3d390ce94d6bd2d3199ca536473
INSTITUCIÓN AUTÓNOMA (Alcaldía Municipal)	28/09/2010	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2010/09/894EF.PDF	Decreto Municipal-Las Vueltas	La presente Ordenanza tiene por objeto, establecer las normas orientadas a la protección del medio ambiente para procurar a los habitantes del Municipio un desarrollo sostenible, es decir mejoramiento de la calidad de vida de las generaciones presentes y futuras.	ORDENANZA REGULADORA Y PROTECTORA DEL MEDIO AMBIENTE DEL MUNICIPIO DE LAS VUELTAS, DEPARTAMENTO DE CHALATENANGO	5295ca36db333222775765156d1515e67d57b24d
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	17/11/2010	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2010/11/8A2C1.PDF	Decreto Municipal-San Salvador	La presente ordenanza tiene por objeto la protección al incremento del patrimonio arbóreo del municipio de San Salvador, mediante el establecimiento del marco normativo y técnico que regule las actividades de siembra, plantación, poda y tala de árboles y arbustos en el espacio público; para ello la referida municipalidad otorgo una política para enfrentar los efectos del cambio climático a nivel local, y dentro de las medidas de mitigación contempladas están el desarrollo de programas, planes y proyectos de arborización intensiva en dicho municipio.	ORDENANZA PARA LA PROTECCION DEL PATRIMONIO ARBOREO DEL MUNICIPIO DE SAN SALVADOR, DEPARTAMENTO DE SAN SALVADOR	1f15406eff80d8c72821563ec3a8b5d3aee0ea6b
INSTITUCIONES AUTONOMAS (Alcaldía Municipal)	09/12/2010	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2010/12/8AECC.PDF	Decreto Municipal-Soyapango	El objetivo principal de la presente Ordenanza es proteger e incrementar el patrimonio arbóreo del municipio, mediante el establecimiento de marcos técnicos y normativos que regulen actividades de siembra, poda y tala de árboles y arbustos que se encuentren dentro de la circunscripción territorial del municipio, estableciendo reglas de cuido y manejo de todas aquellas especies arbóreas y arbustivas plantadas en los espacios públicos y privados que requieren de una planificación particular, a efecto de lograr una protección efectiva y que además potencie y proteja los recursos paisajísticos y faciliten su mantenimiento. En consecuencia, para esta municipalidad es una obligación cívica e ineludible para todos los habitantes y visitantes de este municipio el preservar y mejorar el Medio Ambiente, ornato y paisaje vegetal; caso contrario, cuando se tenga conocimiento de una infracción a la presente Ordenanza, la autoridad competente deberá abrir expediente y ordenar inspección en el lugar de los hechos para recabar la información pertinente y sancionar administrativamente al contraventor en caso de ser comprobada la infracción, sin perjuicio de poder recurrir ante la instancia respectiva y dentro del plazo que establece.	ORDENANZA FORESTAL DEL MUNICIPIO DE SOYAPANGO, DEPARTAMENTO DE SAN SALVADOR	092e4c7a8b112c89e5a7bbe5847ddaa3c25e861b
